nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000169710	NA	pink
ENSG00000189334	NA	pink
ENSG00000065978	NA	pink
ENSG00000100219	NA	pink
ENSG00000124664	NA	pink
ENSG00000176014	NA	pink
ENSG00000089327	NA	pink
ENSG00000187244	NA	pink
ENSG00000172725	NA	pink
ENSG00000010278	NA	pink
ENSG00000175567	NA	pink
ENSG00000143878	NA	pink
ENSG00000197043	NA	pink
ENSG00000169714	NA	pink
ENSG00000196576	NA	pink
ENSG00000099282	NA	pink
ENSG00000115648	NA	pink
ENSG00000215845	NA	pink
ENSG00000147065	NA	pink
ENSG00000118640	NA	pink
ENSG00000105518	NA	pink
ENSG00000129514	NA	pink
ENSG00000143416	NA	pink
ENSG00000102316	NA	pink
ENSG00000072310	NA	pink
ENSG00000110090	NA	pink
ENSG00000065361	NA	pink
ENSG00000132746	NA	pink
ENSG00000115468	NA	pink
ENSG00000185630	NA	pink
ENSG00000113719	NA	pink
ENSG00000107485	NA	pink
ENSG00000143578	NA	pink
ENSG00000105514	NA	pink
ENSG00000076604	NA	pink
ENSG00000139629	NA	pink
ENSG00000172830	NA	pink
ENSG00000115461	NA	pink
ENSG00000130202	NA	pink
ENSG00000167106	NA	pink
ENSG00000171604	NA	pink
ENSG00000132254	NA	pink
ENSG00000163083	NA	pink
ENSG00000171302	NA	pink
ENSG00000074410	NA	pink
ENSG00000189171	NA	pink
ENSG00000111275	NA	pink
ENSG00000135862	NA	pink
ENSG00000160685	NA	pink
ENSG00000132591	NA	pink
ENSG00000188603	NA	pink
ENSG00000105289	NA	pink
ENSG00000166347	NA	pink
ENSG00000011347	NA	pink
ENSG00000131037	NA	pink
ENSG00000179889	NA	pink
ENSG00000165644	NA	pink
ENSG00000162078	NA	pink
ENSG00000206053	NA	pink
ENSG00000167608	NA	pink
ENSG00000204267	NA	pink
ENSG00000176986	NA	pink
ENSG00000108175	NA	pink
ENSG00000109111	NA	pink
ENSG00000179178	NA	pink
ENSG00000122378	NA	pink
ENSG00000088002	NA	pink
ENSG00000167535	NA	pink
ENSG00000198171	NA	pink
ENSG00000167110	NA	pink
ENSG00000125967	NA	pink
ENSG00000127838	NA	pink
ENSG00000083307	NA	pink
ENSG00000174233	NA	pink
ENSG00000134575	NA	pink
ENSG00000143850	NA	pink
ENSG00000138867	NA	pink
ENSG00000182580	NA	pink
ENSG00000160325	NA	pink
ENSG00000105974	NA	pink
ENSG00000163517	NA	pink
ENSG00000100221	NA	pink
ENSG00000115902	NA	pink
ENSG00000090238	NA	pink
ENSG00000137747	NA	pink
ENSG00000133195	NA	pink
ENSG00000124839	NA	pink
ENSG00000157191	NA	pink
ENSG00000167536	NA	pink
ENSG00000106541	NA	pink
ENSG00000125898	NA	pink
ENSG00000160190	NA	pink
ENSG00000154122	NA	pink
ENSG00000180891	NA	pink
ENSG00000198837	NA	pink
ENSG00000196502	NA	pink
ENSG00000085831	NA	pink
ENSG00000102034	NA	pink
ENSG00000105976	NA	pink
ENSG00000110628	NA	pink
ENSG00000133424	NA	pink
ENSG00000116299	NA	pink
ENSG00000100321	NA	pink
ENSG00000082458	NA	pink
ENSG00000135127	NA	pink
ENSG00000075420	NA	pink
ENSG00000167964	NA	pink
ENSG00000215305	NA	pink
ENSG00000143624	NA	pink
ENSG00000145555	NA	pink
ENSG00000176532	NA	pink
ENSG00000106078	NA	pink
ENSG00000177380	NA	pink
ENSG00000038382	NA	pink
ENSG00000172586	NA	pink
ENSG00000174567	NA	pink
ENSG00000178764	NA	pink
ENSG00000183723	NA	pink
ENSG00000153250	NA	pink
ENSG00000167632	NA	pink
ENSG00000101417	NA	pink
ENSG00000181045	NA	pink
ENSG00000134508	NA	pink
ENSG00000114770	NA	pink
ENSG00000114812	NA	pink
ENSG00000196547	NA	pink
ENSG00000149577	NA	pink
ENSG00000109118	NA	pink
ENSG00000152642	NA	pink
ENSG00000105971	NA	pink
ENSG00000114737	NA	pink
ENSG00000165548	NA	pink
ENSG00000106012	NA	pink
ENSG00000099337	NA	pink
ENSG00000183386	NA	pink
