SampleID	Trait1	Trait2
X1462	211.1751917	473.5404722
X303WX	126.0282494	793.4728958
X81162	113.6601911	879.8155188
CIMBL119	220.4631735	453.590495
CIMBL137	129.9679775	769.4202982
CIMBL66	131.2462092	761.9267681
CIMBL69	135.1743039	739.785574
CIMBL83	107.1977917	932.8550375
CML171	218.9284533	456.7702301
CML432	129.3475304	773.111011
DONG237	128.100321	780.6381687
GEMS1	215.4506789	464.1433506
GEMS17	210.270429	475.5780472
GEMS18	217.6330908	459.4889483
GEMS33	216.2431601	462.4423725
GEMS39	214.610543	465.9603326
GEMS4	216.1407906	462.6613964
GEMS49	216.4779039	461.9409104
GEMS61	212.8579065	469.7969723
HTH.17	132.5412817	754.4819147
HYS	123.6913798	808.4637762
K22	132.6037696	754.1263744
S37	130.1261914	768.4847987
SHEN5003	122.9404173	813.402152
SI434	119.8731479	834.2151829
W138	136.2187903	734.1131116
WH413	131.3158987	761.5224127
XI502	131.7869953	758.8002122
YE8001	136.2636317	733.8715309
ZH68	135.0199677	740.6311948
